handle,product_name,SKU (from Shopify),HSN Code,Packaging Length (cm),Packaging Width (cm),Packaging Height (cm),GST Code (%)
mystic-blue-butterfly-adjustable-ring-in-925-silver-by-svadezi,Mystic Blue Butterfly Adjustable Ring in 925 Silver by SVADEZI,SLR92/27740,,,,,
31,Hoop Earrings in 925 Silver by SVADEZI,STPS/20565,,,,,
azure-dragonfly-elegance-adjustable-ring-in-925-silver-by-svadezi,Azure Dragonfly Elegance Adjustable Ring  in 925 Silver by SVADEZI,SLR92/27125,,,,,
citrine-uniquely-shaped-pendant-in-925-silver-by-svadezi,Citrine uniquely shaped pendant in 925 Silver by SVADEZI,SCH/19420,,,,,
fresh-water-lustrous-pearl-with-zirconium-diamond-ring-in-925-silver-by-svadezi,Fresh Water Lustrous Pearl with Zirconium Diamond Ring in 925 Silver by SVADEZI,SLR92/26774,,,,,
i-love-you-statement-ring-in-925-silver-by-svadezi,I love you Statement ring in 925 Silver by SVADEZI,SLR92/27348,,,,,
black-enamel-single-mop-bracelete-in-925-silver-by-svadezi,Black Enamel Single MOP Bracelete in 925 Silver by SVADEZI,SBRL/13223,,,,,
black-enamel-mop-bracelet-in-925-silver-by-svadezi,Black Enamel MOP Bracelet in 925 Silver by SVADEZI,SBRL/13307,,,,,
plain-heart-pendant-in-925-silver-by-svadezi,Plain heart Pendant in 925 Silver by SVADEZI,SCH/19023,,,,,
evil-eye-heart-ring-in-925-silver-by-svadezi,Evil Eye Heart ring in 925 Silver by SVADEZI,SLR92/26990,,,,,
whimsy-adjustable-butterfly-ring-in-925-silver-by-svadezi,Whimsy Adjustable Butterfly Ring in 925 Silver by SVADEZI,SLR92/27311,,,,,
designer-wings-solitaire-centerpiece-pendant-in-925-silver-by-svadezi,Designer Wings Solitaire Centerpiece pendant in 925 Silver by SVADEZI,SCH/18007,,,,,
snake-wrap-adjustable-ring-in-925-silver-bt-svadezi,Snake Wrap Adjustable Ring in 925 Silver bt SVADEZI,SLR92/27613,,,,,
double-heart-adjustable-ring-in-925-silver-by-svadezi,Double Heart Adjustable ring in 925 Silver by SVADEZI,SLR92/27768,,,,,
evil-eye-ring-adjustable-in-925-silver-by-svadezi,Evil Eye Ring (Adjustable) in 925 Silver by SVADEZI,SLR92/26637,,,,,
heart-on-your-ear-earring-in-925-silver-by-svadezi,Heart on your Ear earring in 925 Silver by SVADEZI,STPS/20334,,,,,
spread-your-wings-enamel-ring-in-925-silver-by-svadezi,Spread your Wings Enamel ring in 925 Silver by SVADEZI,SLR92/27025,,,,,
dyllia-butterfly-pendant-in-925-silver-by-svadezi,Dyllia Butterfly Pendant in 925 Silver by SVADEZI,SCH/18496,,,,,
49,Blossoming Sapphire Elegance Pendant in 925 Silver by SVADEZI,SCH/18681,,,,,
blossoming-sapphire-elegance-pendant-in-925-silver-by-svadezi,Blossoming Sapphire Elegance Pendant in 925 Silver by SVADEZI,SCH/19543,,,,,
clestial-heart-blue-topaz-pendant-in-925-silver-by-svadezi,Celestial Heart Blue Topaz Pendant in 925 Silver by SVADEZI,SCH/19105,,,,,
openable-heart-ring-in-925-silver-by-svadezi,Openable Heart (Adjustable) Ring in 925 Silver by SVADEZI,SLR92/27718,,,,,
premium-black-onyx-mop-earrings-in-925-silver-by-svaezi,Premium Black Onyx MOP Earrings in 925 Silver by SVAEZI,STPS/20515,,,,,
mother-of-pearl-in-black-pendant-in-925-silver-by-svadezi,Mother-of-Pearl in black pendant in 925 Silver by SVADEZI,SCH/19449,,,,,
hanging-lustrous-pearl-earrings-in-925-silver-by-svadezi,Hanging lustrous pearl earrings in 925 Silver by SVADEZI,STPS/17853,,,,,
blue-topaz-statement-drop-earrings-in-925-silver-by-svadezi,Blue Topaz Statement Drop Earrings in 925 Silver by SVADEZI,STPS/20349,,,,,
modern-sophisticated-pendant-set-in-925-silveer-by-svadezi,Modern sophisticated Pendant Set in 925 Silveer by SVADEZI,SPST/7354,,,,,
spread-your-wings-enammel-ring-in-925-silver-iby-svadezi,Spread your Wings Enammel Ring in 925 Silver iby SVADEZI,SLR92/27382,,,,,
hanging-lustrous-pearl-drop-earring-in-925-silver-by-svadezi,Hanging lustrous pearl drop earring in 925 Silver by SVADEZI,STPS/20810,,,,,
fresh-water-paerl-drop-earrings-in-925-silver-by-svadezi,Fresh Water Paerl Drop Earrings in 925 Silver by SVADEZI,STPS/21176,,,,,
infinity-adjustable-bracelet-in-925-silver-by-svadezi,Infinity Adjustable Bracelet in 925 Silver by SVADEZI,SBRL/13701,,,,,
white-enamel-flower-ring-in-925-silver-by-svadezi,White Enamel Flower Ring in 925 Silver by SVADEZI,SLR32/24174,,,,,
hearty-pendant-set-in-925-silver-by-svadezi,Hearty Pendant Set in 925 Silver by SVADEZI,SPST/7431,,,,,
exclusive-silver-chain-ring-quartz-drop-in-925-silver-by-svadezi,Exclusive Silver Chain Ring Quartz Drop in 925 Silver by SVADEZI,SLR92/26816,,,,,
exclusive-drop-chain-ring-in-925-silver-by-svadezi,Exclusive Drop Chain Ring in 925 Silver by SVADEZI,SLR92/26890,,,,,
simple-yet-sophisticated-adjustable-chain-in-925-silver-by-svadezi,Simple Yet Sophisticated Adjustable Chain in 925 Silver by SVADEZI,SCH/19332,,,,,
pink-stones-in-a-delicate-flower-pendant-in-925-silver-by-svadezi,Pink Stones in a Delicate Flower Pendant in 925 Silver by SVADEZI,SCH/17720,,,,,
infinity-heart-chain-bracelet-in-925-silver-by-svadezi,Infinity Heart Chain Bracelet in 925 Silver by SVADEZI,SBRL/13134,,,,,
rose-quartz-chain-ring-in-925-silver-by-svadezi,Rose Quartz Chain Ring in 925 Silver by SVADEZI,SLR92/27834,,,,,
hearty-pendant-bracelet-in-925-silver-in-svadezi,Hearty Pendant Bracelet in 925 Silver in SVADEZI,SBRL/12906,,,,,
premium-bali-earrings-in-925-silver-by-svadezi,Premium Bali Earrings in 925 Silver by SVADEZI,STPS/20906,,,,,
drop-shaped-solitaire-ring-in-925-silver-by-svadezi,drop-shaped solitaire ring in 925 Silver by SVADEZI,SLR32/27477,,,,,
u-shape-earring-with-fresh-water-pearl-in-925-silver-by-svadezi,U-shape earring with Fresh Water pearl in 925 Silver by SVADEZI,STPS/20543,,,,,
ring-that-defies-convention-in-925-silver-by-svadezi,Ring that defies convention in 925 Silver by SVADEZI,SLR92/18212,,,,,
queens-timeless-undeniable-charm-earrings-in-925-silver-by-svadezi,Queens timeless undeniable charm Earrings in 925 Silver by SVADEZI,STPS/17722,,,,,
sleek-serpent-ring-in-925-silver-by-svadezi,Sleek Serpent Ring in 925 Silver by SVADEZI,SLR92/26301,,,,,
30,Magnetic pink Quartz Ring in 925 Silver by SVADEZI,SLR92/22940,,,,,
unique-combination-of-pearls-and-stones-chain-in-925-silver-by-svadezi,Unique Combination Of Pearls and Stones Chain in 925 Silver by SVADEZI,SCH/18799,,,,,
